GenericName	TradeName	DateDesignated	OrphanDesignation	OrphanDesignationStatus	FDAOrphanApprovalStatus	SponsorCompany
Iobenguane I 131	Azedra Ultratrace	1/18/2006	Treatment of neuroendocrine tumors	Designated/Approved		"Progenics Pharmaceuticals, Inc."
L-aminocarnityl-succinyl-leucyl-argininal-diethylacetal		1/18/2006	Treatment of Duchenne and Becker muscular dystrophy	Designated	Not FDA Approved for Orphan Indication	CepTor Corporation
Lentiviral vector encoded with a human beta-globin gene plasmid		1/11/2006	Treatment of beta-thalassemia major and beta-thalassemia intermedia	Designated	Not FDA Approved for Orphan Indication	"San Rocco Therapeutics, LLC"
Fusion protein consisting of human immunoglobim G1 constant region Fc region fused to the human receptor binding domain of ectodysplasin-A1		1/11/2006	Treatment of X-linked hypohidrotic ectodermal dysplasia	Designated	Not FDA Approved for Orphan Indication	Espoir XLHED Sarl
Human immunoglobin anti-CD30 monoclonal antibody		1/10/2006	Treatment of CD30+ T-cell lymphoma	Designated	Not FDA Approved for Orphan Indication	Bristol-Myers Squibb
isofagomine tartrate		1/10/2006	Treatment of Gaucher disease	Designated/Designation Withdrawn or Revoked	Not FDA Approved for Orphan Indication	"Amicus Therapeutics, Inc."
Inalimarev and falimarev		1/10/2006	Treatment of adenocarcinoma of the pancreas	Designated	Not FDA Approved for Orphan Indication	Therion Biologics Corporation
imatinib mesylate	Gleevec	12/19/2005	Treatment of dermatofibrosarcoma protuberans	Designated/Approved		Novartis Pharmaceuticals Corporation
Mycophenolate mofetil		12/19/2005	Treatment of myasthenia gravis	Designated/Designation Withdrawn or Revoked	Not FDA Approved for Orphan Indication	"Hoffman-LaRoche, Inc."
Somatropin	Humatrope	12/15/2005	Treatment of short stature in pediatric patients with short stature homeobox-containing gene (SHOX) deficiency	Designated/Approved		Eli Lilly and Company
Zosuquidar trihydrochloride		12/15/2005	Treatment of acute myeloid leukemia	Designated	Not FDA Approved for Orphan Indication	"Kanisa Pharmaceuticals, Inc."
Amphotericin B inhalation powder		12/15/2005	"Prevention of pulmonary fungal infections in patients at risk for aspergillosis due to immunosuppressive therapy including those receiving organ or stem cell transplants, or treated with chemotherapy or radiation for hematologic malignancies"	Designated/Designation Withdrawn or Revoked	Not FDA Approved for Orphan Indication	Novartis Pharmaceuticals Corporation
eniluracil		12/15/2005	Treatment of hepatocellular carcinoma.	Designated	Not FDA Approved for Orphan Indication	"Adherex Technologies, Inc."
Coxsackievirus A21		12/15/2005	"Treatment of stage II (T4), stage III, and stage IV melanoma"	Designated	Not FDA Approved for Orphan Indication	"Viralytics Limited, a wholly owned subsidiary of Merck Sharp & Dohme, LLC"
Urea for intravitreal injection		12/14/2005	Treatment of retinitis pigmentosa	Designated	Not FDA Approved for Orphan Indication	"Vitreo Retinal Techologies, Inc"
ex vivo cultured adult human mesenchymal stem cells		12/14/2005	Treatment of acute graft versus host disease	Designated	Not FDA Approved for Orphan Indication	"Mesoblast, Inc."
4-Aminopyridine		12/14/2005	Treatment chronic functional motor and sensory deficits from Guillain-Barre syndrome	Designated	Not FDA Approved for Orphan Indication	"Acorda Therapeutics, Inc."
solvent/detergent treated non-blood-group specific human coagulation active plasma		12/12/2005	Treatment of thrombotic thrombocytopenic purpura	Designated/Designation Withdrawn or Revoked	Not FDA Approved for Orphan Indication	"Octapharma USA, Inc."
4-(3-Methanesulfonyl-phenyl)-1-propylpiperidine HCl		12/12/2005	Treatment of Huntington's disease.	Designated	Not FDA Approved for Orphan Indication	Prilenia Therapeutics
"4-cholest-en-3-one, oxime"		12/1/2005	Treatment of amyotrophic lateral sclerosis	Designated/Designation Withdrawn or Revoked	Not FDA Approved for Orphan Indication	Trophos SA
dasatinib	Sprycel	11/28/2005	Treatment of chronic myelogenous leukemia	Designated/Approved		Bristol-Myers Squibb Company
dasatinib	Sprycel	11/28/2005	Treatment of chronic myelogenous leukemia	Designated/Approved		Bristol-Myers Squibb Company
Histrelin	Supprelin LA	11/18/2005	Treatment of central precocious puberty	Designated/Approved		"Endo Pharmaceuticals Solutions, Inc."
Dasatinib	Sprycel	11/18/2005	Treatment of Philadelphia-positive acute lymphoblastic leukemia	Designated/Approved		Bristol-Myers Squibb Company
Exon 46 specific phosphorothioate oligonucleotide		11/18/2005	Treatment of Duchenne muscular dystrophy	Designated/Designation Withdrawn or Revoked	Not FDA Approved for Orphan Indication	Prosensa Therapuetics BV
Dasatinib	Sprycel	11/18/2005	Treatment of Philadelphia-positive acute lymphoblastic leukemia	Designated/Approved		Bristol-Myers Squibb Company
recombinant deriative of C3 transferase		11/18/2005	Treatment of acute spinal cord injury	Designated	Not FDA Approved for Orphan Indication	"Vertex Pharmaceuticals, Inc."
Heparin		11/3/2005	Treatment of cystic fibrosis	Designated/Designation Withdrawn or Revoked	Not FDA Approved for Orphan Indication	"Vectura Group, Inc."
Solasonine and solamargine		11/2/2005	Treatment of renal cell carcinoma	Designated	Not FDA Approved for Orphan Indication	Solbec Pharmaceuticals Limited
bivalirudin		11/2/2005	For use as an anticoagulant in patients with or at risk of heparin-induced thrombocytopenia/heparin-induced thrombocytopenia thrombosis syndrome	Designated	Not FDA Approved for Orphan Indication	The Medicines Company
Picoplatin		11/2/2005	Treatment of small cell lung cancer	Designated	Not FDA Approved for Orphan Indication	Poniard Pharmaceuticals
Lucinactant		10/21/2005	Treatment of bronchopulmonary dysplasia in premature infants.	Designated	Not FDA Approved for Orphan Indication	Lee’s Pharmaceutical (HK) Limited
vandetanib	CAPRELSA(r)	10/21/2005	"Treatment of patients with follicular thyroid carcinoma, medullary thyroid carcinoma, anaplastic thyroid carcinoma, and locally advanced and metastatic papillary thyroid carcinoma"	Designated/Approved		Genzyme Corporation
iobenguane sulfate I-123		10/21/2005	"For the detection, localization, and staging of pheochromocytomas."	Designated	Not FDA Approved for Orphan Indication	"Brogan Pharmaceuticals, Inc."
Iobenguane Sulfate I-123		10/17/2005	"For scintigraphic detection, localization and staging of neuroblastoma."	Designated	Not FDA Approved for Orphan Indication	"Brogan Pharmaceuticals, LLC"
N-(methyl-diazacyclohexyl-methylbenzamide)-azaphenyl-aminothiopyrrole) mesylate		10/17/2005	Treatment of multiple myeloma.	Designated	Not FDA Approved for Orphan Indication	AB Science
siltuximab		10/11/2005	Treatment of multiple myeloma	Designated/Designation Withdrawn or Revoked	Not FDA Approved for Orphan Indication	"Janssen Research & Development, LLC"
Creatine		10/11/2005	Treatment of Huntington's disease	Designated/Designation Withdrawn or Revoked	Not FDA Approved for Orphan Indication	"Marathon Pharmaceuticals, LLC"
imatinib	Gleevec	10/11/2005	Treatment of Philadelphia-positive acute lymphoblastic leukemia	Designated/Approved		Novartis Pharmaceuticals Corporation
imatinib	Gleevec	10/11/2005	Treatment of Philadelphia-positive acute lymphoblastic leukemia	Designated/Approved		Novartis Pharmaceuticals Corporation
Doxorubicin HCl with pluronic L-61 and pluronic F-127		10/7/2005	Treatment of esophageal carcinoma	Designated	Not FDA Approved for Orphan Indication	Supratek Pharma Inc.
dacetuzumab		10/6/2005	Treatment of chronic lymphocytic leukemia	Designated	Not FDA Approved for Orphan Indication	"Seattle Genetics, Inc."
Fenretinide		10/5/2005	Treatment of neuroblastoma	Designated	Not FDA Approved for Orphan Indication	USC-CHLA Institute for Pediatric Clinical Research
Buthionine sulfoxamine		10/5/2005	For use in children as a modulator of chemotherapy for the treatment of pediatric patients with neuroblastoma	Designated	Not FDA Approved for Orphan Indication	USC-CHLA Institute for Pediatric Clinical Research
brivaracetam		10/5/2005	Treatment of symptomatic myoclonus	Designated	Not FDA Approved for Orphan Indication	"UCB Pharma, Inc."
Buthionine sulfoxamine		10/5/2005	Use as a modulator of chemotherapy for the treatment of pediatric patients with primary malignant brain tumors	Designated	Not FDA Approved for Orphan Indication	USC-CHLA Institute for Pediatric Clinical Research
Imatinib mesylate	Gleevec	10/5/2005	Treatment of myeloproliferative disorders/myelodysplastic syndromes associated with platelet-derived growth factor gene re-arrangements	Designated/Approved		Novartis Pharmaceuticals Corporation
Anti-tenascin 81C6 monoclonal antibody labeled w/ I 131		10/4/2005	Treatment of primary malignant brain tumors	Designated	Not FDA Approved for Orphan Indication	"Bradmer Pharmaceuticals, Inc."
"chimeric monoclonal antibodies, c-alphaStx2"		10/4/2005	For treatment of shiga-toxin producing bacterial infection	Designated	Not FDA Approved for Orphan Indication	Taro Pharmaceuticals Inc.
Patupilone		10/4/2005	Treatment of ovarian cancer.	Designated/Designation Withdrawn or Revoked	Not FDA Approved for Orphan Indication	Novartis Pharmaceutical Corporation
Recombinant Human Interleukin-21 (rIL-21)		10/4/2005	"Treatment of stage II (T4), III or IV malignant melanoma."	Designated/Designation Withdrawn or Revoked	Not FDA Approved for Orphan Indication	"Zymo Genetics, Inc"
Enzastaurin		9/19/2005	Treatment of glioblastoma multiforme	Designated/Designation Withdrawn or Revoked	Not FDA Approved for Orphan Indication	Denovo Biopharma LLC
masitinib		9/14/2005	Treatment of mastocytosis	Designated	Not FDA Approved for Orphan Indication	AB Science
Imatinib mesylate	Gleevec	9/9/2005	Treatment of systemic mastocytosis without the D816V c-kit mutation	Designated/Approved		Novartis Pharmaceuticals Corporation
Imatinib mesylate	Gleevec	8/25/2005	Treatment of idiopathic hypereosinophilic syndrome including acute and chronic eosinophilic leukemia	Designated/Approved		Novartis Pharmaceuticals Corporation
Recombinant Epstein-Barr virus gp350 glycoprotein vaccine		8/18/2005	Prevention of post-transplantation lymphoproliferative disorders in pediatric recipients of solid-organ transplantation	Designated	Not FDA Approved for Orphan Indication	Henogen S.A.
Balsalazide disodium	Colazal	8/12/2005	Treatment of pediatric patients with ulcerative colitis	Designated/Approved		"Salix Pharmaceuticals, Inc."
imexon		8/12/2005	Treatment of ovarian cancer.	Designated	Not FDA Approved for Orphan Indication	AmpliMed Corporation
Recombinant anti-CD40 monoclonal antibody		8/12/2005	Treatment of chronic lymphocytic leukemia	Designated/Designation Withdrawn or Revoked	Not FDA Approved for Orphan Indication	Novartis Pharmaceutical Corporation
ridaforolimus		8/12/2005	Treatment of soft tissue sarcoma	Designated/Designation Withdrawn or Revoked	Not FDA Approved for Orphan Indication	Merck Sharp & Dohme Corp.
Alfentanil		8/9/2005	Treatment of painful HIV-associated neuropathy	Designated	Not FDA Approved for Orphan Indication	"Cinergen, LLC"
Rapamycin (mTOR) inhibitor		8/9/2005	Treatment of bone sarcoma.	Designated/Designation Withdrawn or Revoked	Not FDA Approved for Orphan Indication	Merck Sharp & Dohme Corp.
bicarbonate infusate	Normocarb HF	8/9/2005	Use in the management of patients undergoing continuous renal replacement therapy with hemofiltration	Designated/Approved		"Dialysis Solutions, Inc."
Capsaicin		8/3/2005	Treatment of postherpetic neuralgia.	Designated	Not FDA Approved for Orphan Indication	"TheraQuest Biosciences, LLC"
Edotreotide		7/28/2005	Treatment of somatostatin receptor-positive neuroendocrine gastroenteropancreatic tumors	Designated	Not FDA Approved for Orphan Indication	"Molecular Insight Pharmaceuticals, Inc. (Progenics Subsidiary)"
Nucleic acid aptamer binding to tumor cell nucleon		7/28/2005	Treatment of renal cell carcinoma	Designated	Not FDA Approved for Orphan Indication	Antisoma Inc.
Autologous or allogeneic limbal epithelial stem cells expanded ex vivo on human amniotic membrane		7/14/2005	Treatment of ocular surface diseases that are characterized by total limbal stem cell deficiency	Designated	Not FDA Approved for Orphan Indication	"TissueTech, Inc."
raloxifene	Evista	7/14/2005	Reduction of the risk of breast cancer in postmenopausal women	Designated/Approved		Eli Lilly and Company
Recombinant human lysosomal acid lipase or cholesteryl ester hydrolase		7/14/2005	"Treatment of lipase deficiencies, including Wolman Disease and cholesteryl ester storage disease"	Designated	Not FDA Approved for Orphan Indication	"Lysosomal Acid Lipase, LLC"
Alfentanil		7/8/2005	Management of postherpetic neuralgia	Designated	Not FDA Approved for Orphan Indication	"Cinergen, LLC"
SDF-1 (108) Lysine Dlmer		7/7/2005	Treatment of osteogenic sarcoma	Designated	Not FDA Approved for Orphan Indication	Chemokine Therapeutics Corporation
Contulakin-G		7/7/2005	Intrathecal treatment of neuropathic pain associated with spinal cord injury	Designated	Not FDA Approved for Orphan Indication	"Cognetix, Inc."
human leukocyte-derived cytokine mixture		7/7/2005	Neoadjuvant therapy in patients with squamous cell carcinoma of the head and neck	Designated	Not FDA Approved for Orphan Indication	"IRX Therapeutics, Inc."
"Valproic acid, sodium"		6/24/2005	Treatment of familial adenomatous polyposis	Designated/Designation Withdrawn or Revoked	Not FDA Approved for Orphan Indication	Topotarget A/S
Recombinant truncated SPINT2 protease inhibitor		6/24/2005	Treatment of cystic fibrosis	Designated	Not FDA Approved for Orphan Indication	"Aerovance, Inc."
Liposomal annamycin		6/17/2005	Treatment of acute myeloid leukemia	Designated	Not FDA Approved for Orphan Indication	"Callisto Pharmaceuticals, Inc."
Liposomal annamycin		6/17/2005	Treatment of acute lymphoblastic leukemia	Designated	Not FDA Approved for Orphan Indication	"Callisto Pharmaceuticals, Inc."
Adenoviral vector expressing Herpes simplex virus thymidine kinase gene		6/17/2005	Treatment of malignant brain tumors	Designated	Not FDA Approved for Orphan Indication	"Candel Therapeutics, Inc."
Clotrimazole		6/14/2005	Topical treatment of children and adults with pouchitis	Designated	Not FDA Approved for Orphan Indication	"AesRx, LLC"
Geneticin		6/6/2005	Treatment of amoebiasis.	Designated	Not FDA Approved for Orphan Indication	"ProcesScience, Inc. (PSI)"
Polyethylene glycol-modified uricase		6/6/2005	Treatment of hyperuricemia in patients with gout refractory to conventional therapy or in whom conventional therapy is contraindicated	Designated	Not FDA Approved for Orphan Indication	Swedish Orphan Biovitrum AB
Tacrolimus	Prograf	6/6/2005	Prophylaxis of organ rejection in patients receiving heart transplants.	Designated/Approved		"Astellas Pharma US, Inc."
Iboctadekin		6/3/2005	Treatment of renal cell carcinoma	Designated/Designation Withdrawn or Revoked	Not FDA Approved for Orphan Indication	GlaxoSmithKline LLC
Sodium phenylacetate/sodium benzoate 10%/10% Injection		6/3/2005	Treatment of grade III and IV hepatic encephalopathy	Designated	Not FDA Approved for Orphan Indication	"Ucyclyd Pharma, Inc."
Cytomegalovirus DNA vaccine with plasmids expressing pp65 and gB genes		6/3/2005	"Prevention of clinically significant cytomegalovirus (CMV) viremia, CMV disease and associated complications in at-risk hematopoietic cell transplant and solid transplant populations"	Designated	Not FDA Approved for Orphan Indication	"Astellas Pharma Global Development, Inc."
cilengitide		5/27/2005	Treatment of malignant glioma	Designated/Designation Withdrawn or Revoked	Not FDA Approved for Orphan Indication	"EMD Serono, Inc."
digitoxin		5/27/2005	Treatment of cystic fibrosis	Designated	Not FDA Approved for Orphan Indication	Silver Pharmaceuticals
Titanium dioxide and bisoctrizole		5/25/2005	"For the secondary prevention (prevention of lesional induction) of disorders with UV-A and visible light-induced photosensitivity, specifically Actinic prurigo, Hydroa vacciniforme, Solar urticara (SU), Chronic Actinic Dermatitis (CAD), the cutaneous prop"	Designated/Designation Withdrawn or Revoked	Not FDA Approved for Orphan Indication	Orfagen
Glyceryl tri (4-phenylbutyrate)		5/24/2005	Treatment of spinal muscular atrophy	Designated	Not FDA Approved for Orphan Indication	"Ucyclyd Pharma, Inc"
Human anti-integrin receptor av monoclonal antibody		5/5/2005	Treatment of patients with angiosarcoma	Designated/Designation Withdrawn or Revoked	Not FDA Approved for Orphan Indication	"Janssen Research & Development, LLC"
Recombinant human alpha 1-antitrypsin		4/28/2005	Prevention of bronchopulmonary dysplasia	Designated	Not FDA Approved for Orphan Indication	"Arriva Pharmaceuticals, Inc."
L-threonyl-L-prolyl-L-prolyl-L-threonine		4/26/2005	Treatment of neuropathic pain associated with spinal cord injury	Designated	Not FDA Approved for Orphan Indication	"Nyxis Neurotherapies, Inc."
Tramadol hydrochloride		4/26/2005	Management of postherpetic neuralgia	Designated	Not FDA Approved for Orphan Indication	"TheraQuest Biosciences, LLC"
masitinib		4/20/2005	Treatment of malignant gastrointestinal stromal tumors	Designated	Not FDA Approved for Orphan Indication	AB Science
Antisense 20-mer oligonucleotide complementary to R2 component of ribonucleotide reductase mRNA		4/15/2005	Treatment of acute myeloid leukemia	Designated	Not FDA Approved for Orphan Indication	"Lorus Therapeutics, Inc."
hydroxyurea		4/15/2005	Treatment of pediatric patients with sickle cell anemia.	Designated	Not FDA Approved for Orphan Indication	"UPM Pharmaceuticals, Inc."
Anatibant		4/15/2005	Treatment of patients having experienced a severe traumatic brain injury (Glasgow Coma Scale 3 to 8) in order to decrease early mortality and improve long-term functional and neurological outcome	Designated	Not FDA Approved for Orphan Indication	"Xytis, Inc."
2-methoxyestradiol		4/11/2005	Treatment of pulmonary arterial hypertension	Designated	Not FDA Approved for Orphan Indication	"PR Pharmaceuticals, Inc."
Tilarginine acetate		4/11/2005	Treatment of cardiogenic shock	Designated	Not FDA Approved for Orphan Indication	"Arginox Pharmceuticals, Inc."
myo-inositol		4/7/2005	Prevention of retinopathy of prematurity in preterm infants at risk for developing retinopathy of prematurity	Designated	Not FDA Approved for Orphan Indication	Abbott Nutrition
Interleukin-1 Trap		4/4/2005	Treatment of Still's disease including juvenile rheumatoid arthritis and adult-onset Still's disease	Designated	Not FDA Approved for Orphan Indication	"Regeneron Pharmaceuticals, Inc."
DNA plasmid vector expressing human IL-12 gene		4/4/2005	Treatment of ovarian cancer.	Designated	Not FDA Approved for Orphan Indication	"Imunon, Inc."
Troxacitabine		4/4/2005	Treatment of acute myeloid leukemia	Designated/Designation Withdrawn or Revoked	Not FDA Approved for Orphan Indication	"Structural GenomiX, Inc. (SGX)"
2-methoxyestradiol		4/4/2005	Treatment of ovarian cancer	Designated/Designation Withdrawn or Revoked	Not FDA Approved for Orphan Indication	"EntreMed, Inc."
"Human alpha 2,6 sialyltransferase adenoviral gene therapy"		4/4/2005	"Treatment of patients with invasive (malignant) brain and central nervous system tumors lacking alpha 2,6 sialyltransferase."	Designated	Not FDA Approved for Orphan Indication	Falk Center for Molecular Therapeutics
Plasmid DNA vector expressing cystic fibrosis transmembrane gene		3/29/2005	Treatment of cystic fibrosis	Designated	Not FDA Approved for Orphan Indication	"Copernicus Therapeutics, Inc."
Melanoma peptide vaccine		3/29/2005	"Treatment of HLA-A2+ patients with stage IIB, IIC, III, and IV malignant melanoma"	Designated	Not FDA Approved for Orphan Indication	Bristol-Myers Squibb Research Inst
trabectedin		3/29/2005	Treatment of patients with ovarian cancer	Designated	Not FDA Approved for Orphan Indication	"Janssen Research & Development, LLC"
arimoclomol		3/29/2005	Treatment of amyotrophic lateral sclerosis	Designated	Not FDA Approved for Orphan Indication	KemPharm Denmark A/S
aminosidine		3/29/2005	Treatment of visceral leishmaniasis	Designated	Not FDA Approved for Orphan Indication	The Institute for One World Health
humanized anti-human CD16 monoclonal antibody		3/21/2005	Treatment of adult idiopathic thrombocytopenic purpura	Designated/Designation Withdrawn or Revoked	Not FDA Approved for Orphan Indication	Genzyme Corporation
adalimumab	Humira	3/21/2005	Treatment of juvenile rheumatoid arthritis	Designated/Approved		AbbVie Inc.
adalimumab	Humira	3/21/2005	Treatment of juvenile rheumatoid arthritis	Designated/Approved		AbbVie Inc.
doxorubicin nanoparticles		3/14/2005	Treatment of hepatocellular carcinoma	Designated/Designation Withdrawn or Revoked	Not FDA Approved for Orphan Indication	Onxeo SA
Arsenic trioxide		3/4/2005	Treatment of malignant glioma	Designated/Designation Withdrawn or Revoked	Not FDA Approved for Orphan Indication	"Teva Branded Pharmaceutical Products R&D, Inc."
Sodium aluminosilicate		3/4/2005	Treatment of chronic hepatic encephalopathy	Designated	Not FDA Approved for Orphan Indication	Westhaven Therapeutics Corporation
Stem and progenitor cells derived from ex vivo expanded allogeneic umbilical cord blood		3/4/2005	For use as hematopoietic support in patients with relapsed or refractory hematologic malignancies who are receiving high-dose therapy	Designated/Designation Withdrawn or Revoked	Not FDA Approved for Orphan Indication	Gamida Cell Ltd - Teva Joint Venture
c-myb antisense oligodeoxynucleotide		2/22/2005	Treatment of chronic myelogenous leukemia	Designated/Designation Withdrawn or Revoked	Not FDA Approved for Orphan Indication	"Genta, Inc."
aviptadil		2/22/2005	Treatment of pulmonary arterial hypertension	Designated	Not FDA Approved for Orphan Indication	Mondobiotech Laboratories AG
Recombinant human anti-GDF-8 (growth and differentiation factor-8) antibody		2/16/2005	Treatment of Duchenne and Becker muscular dystrophies	Designated/Designation Withdrawn or Revoked	Not FDA Approved for Orphan Indication	"Wyeth Pharmaceuticals, Inc."
Nitric oxide		2/16/2005	Diagnosis of sarcoidosis	Designated	Not FDA Approved for Orphan Indication	SensorMedics Corporation
MANNITOL	Bronchitol®	2/11/2005	For use to facilitate clearance of mucus in patients with bronchiectasis and in patients with cystic fibrosis at risk for bronchiectasis	Designated/Approved		"Chiesi Farmaceutici S.p.A (Chiesi USA, Inc.)"
rAAV2-CB-hRPE65		2/11/2005	Treatment of type II Leber's Congenital Amaurosis	Designated/Designation Withdrawn or Revoked	Not FDA Approved for Orphan Indication	Applied Genetic Technologies Corp.
Mifepristone		2/7/2005	Treatment of Cushing's syndrome secondary to ectopic ACTH secretion	Designated/Designation Withdrawn or Revoked	Not FDA Approved for Orphan Indication	HRA Pharma
deferoxamine starch conjugate		1/28/2005	Treatment of acute iron poisoning	Designated	Not FDA Approved for Orphan Indication	"Biomedical Frontiers, Inc."
"Allogeneic T-cells cultured with anti-CD3 and IL-2; transduced with retroviral vector (SFCMM-3), expressing herpes simplex 1 virus-thymidine kinase (HSV-TK) and truncated low affinity nerve growth factor receptor; selected with anti-low affinity nerve gro"		1/28/2005	Immunotherapy for acceleration of T-cell reconstitution in patients undergoing allogeneic hematopoietic stem cell transplantation	Designated	Not FDA Approved for Orphan Indication	MolMed S.p.A.
recombinant fusion protein with a truncated form of the cytotoxic protein Pseudomonas exotoxin		1/28/2005	Treatment of Ep-CAM-positive squamous cell carcinoma of the head and neck	Designated	Not FDA Approved for Orphan Indication	"Sesen Bio, Inc. (Sesen Bio)"
Tramadol hydrochloride		1/28/2005	Treatment of painful HIV-associated neuropathy	Designated	Not FDA Approved for Orphan Indication	"TheraQuest Biosciences, LLC"
"N-(2,3-dihydro-3,3-dimethyl-1H-indol-6-yl)-2-[(4-pyridinylmethyl)amino]-3-pyridinecarboxamide, phosphate (1:2)"		1/13/2005	Treatment of gastrointestinal stromal tumors	Designated/Designation Withdrawn or Revoked	Not FDA Approved for Orphan Indication	"Amgen, Inc."
bedaquiline	SIRTURO	1/10/2005	Treatment of active tuberculosis	Designated/Approved		"Janssen Research & Development, LLC"
bedaquiline	SIRTURO	1/10/2005	Treatment of active tuberculosis	Designated/Approved		"Janssen Research & Development, LLC"
(2Z)-2-cyano-3-3hydroxy-N-[4-(trifluoromethly)phenyl]-2-hepten-6-ynamide		1/10/2005	"Prevention of acute rejection following kidney, heart, and liver transplantation"	Designated	Not FDA Approved for Orphan Indication	"Astellas Pharma US, Inc."
ataluren		1/10/2005	Treatment of Muscular Dystrophy resulting from premature stop mutations in the dystrohin gene	Designated	Not FDA Approved for Orphan Indication	"PTC Therapeutics, Inc."
bedaquiline	SIRTURO	1/10/2005	Treatment of active tuberculosis	Designated/Approved		"Janssen Research & Development, LLC"
misoprostol		1/10/2005	Treatment of intrauterine fetal death not accompanied by complete expulsion of the products of conception in the second and third trimesters of pregnancy.	Designated	Not FDA Approved for Orphan Indication	"Gynuity Health Projects, LLC"
doxorubicin HCL liposome injection	Doxil	12/29/2004	Treatment of multiple myeloma	Designated/Approved		Johnson & Johnson Pharmaceutical Research & Dev.
paclitaxel		12/22/2004	Treatment of non-superficial urothelial cancer	Designated/Designation Withdrawn or Revoked	Not FDA Approved for Orphan Indication	"Sonus Pharmaceuticals, Inc."
Alpha1-Proteinase Inhibitor (Human)		12/22/2004	Inhalation therapy for the treatment of congential deficiency of alpha1-proteinase inhibitor.	Designated	Not FDA Approved for Orphan Indication	Kamada Ltd.
"Floxuridine, FUDR"		12/22/2004	Intraperitoneal treatment of gastric cancer.	Designated	Not FDA Approved for Orphan Indication	"Franco Muggia, M.D."
Rilonacept	Arcalyst	12/20/2004	Treatment of CIAS1-Associated Periodic Syndromes	Designated/Approved		"Regeneron Pharmaceuticals, Inc."
Temsirolimus	Torisel	12/16/2004	Treatment of renal cell carcinoma	Designated/Approved		"Wyeth Pharmaceuticals, Inc."
20-mer complementary to Akt mRNA		12/10/2004	Treatment of stomach cancer	Designated	Not FDA Approved for Orphan Indication	Rexahn Corporation
"(9-[N-(3-morpholinopropyl)-sulfonyl]-5,6-dihydro-5-oxo-11-H-indeno [1,2-c] isoquinoline methanesulfonic acid"		12/8/2004	Prevention of post-operative complications of aortic anuerysm surgical repair	Designated	Not FDA Approved for Orphan Indication	Inotek Pharmaceuticals Corporation
20-mer oligonucleotide complementary to Akt mRNA		12/8/2004	Treatment of pancreatic cancer	Designated	Not FDA Approved for Orphan Indication	Rexahn Corporation
20-mer oligonucleotide complementary to Akt mRNA		12/8/2004	Treatment of glioblastoma	Designated	Not FDA Approved for Orphan Indication	Rexahn Corporation
human anti-integrin receptor avb3/avb5 monoclonal antibody		12/1/2004	"Treatment of patients with high-risk stage II, stage III, and stage IV malignant melanoma"	Designated/Designation Withdrawn or Revoked	Not FDA Approved for Orphan Indication	"Janssen Research & Development, LLC"
20-mer oligonucleotide complementary to Akt mRNA		12/1/2004	Treatment of renal cell carcinoma	Designated	Not FDA Approved for Orphan Indication	Rexahn Corporation
20-mer oligonucleotide complementary to Akt mRNA		12/1/2004	Treatment of ovarian cancer	Designated	Not FDA Approved for Orphan Indication	Rexahn Corporation
Porfimer sodium		11/18/2004	Treatment of cholangiocarcinoma	Designated	Not FDA Approved for Orphan Indication	"Concordia Laboratories, Inc., Sarl"
Potassium Iodide Oral Solution	ThyroShield	11/17/2004	For use as a thyroid blocking agent in pediatric patients exposed to radiactive iodine	Designated/Approved		"Fleming & Company, Pharmaceuticals"
Nimotuzumab		11/17/2004	Treatment of glioma	Designated	Not FDA Approved for Orphan Indication	InnoKeys PTE Ltd.
Sitaxsentan Sodium		11/2/2004	For the treatment of pulmonary arterial hypertension in the absence of chronic obstructive pulmonary disease or congestive heart failure.	Designated	Not FDA Approved for Orphan Indication	Pfizer Global Research and Development
Human monoclonal antibody against platelet-derived growth factor D		11/2/2004	To slow the progression of IgA nephropathy and delay kidney failure in patients affected by the disease.	Designated	Not FDA Approved for Orphan Indication	CuraGen Corporation
golimumab		11/2/2004	Treatment of chronic sarcoidosis	Designated/Designation Withdrawn or Revoked	Not FDA Approved for Orphan Indication	"Centocor, Inc."
terlipressin	Terlivaz	10/29/2004	Treatment of Hepatorenal Syndrome	Designated/Approved		Mallinckrodt Pharmaceuticals Ireland Ltd
Cyclosporin A		10/29/2004	Treatment of amyotrophic lateral sclerosis and its variants	Designated	Not FDA Approved for Orphan Indication	"Maas Biolab,LLC"
Desmoglein 3 synthetic peptide (PI-0824)		10/26/2004	Treatment of pemphigus vulgaris	Designated	Not FDA Approved for Orphan Indication	"Peptimmune, Inc."
laromustine		10/21/2004	Treatment of acute myelogenous leukemia	Designated	Not FDA Approved for Orphan Indication	"Vion Pharmaceuticals, Inc."
bevacizumab		10/20/2004	Treatment of pancreatic cancer	Designated/Designation Withdrawn or Revoked	Not FDA Approved for Orphan Indication	"Genentech, Inc."
Temozolomide		10/18/2004	Treatment of newly diagnosed high grade glioma	Designated/Designation Withdrawn or Revoked	Not FDA Approved for Orphan Indication	Merck & Company
Sorafenib	Nexavar	10/8/2004	Treatment of renal cell carcinoma.	Designated/Approved		Bayer Pharmaceutical Corporation
rufinamide	Banzel	10/8/2004	Treatment of Lennox-Gastaut Syndrome.	Designated/Approved		"Eisai, Inc."
obatoclax mesylate		10/8/2004	Treatment of chronic lymphocytic leukemia	Designated/Designation Withdrawn or Revoked	Not FDA Approved for Orphan Indication	"Teva Branded Pharmaceutical Products R&D, Inc."
